inproceedings:ID,author:string[],booktitle:string,crossref:string[],editor:string[],ee:string[],key:string,number:string,pages:string,title:string,volume:int,year:int,corresponding_author,doi,keywords
344952,J. Robin B. Cockett|Joaquín Díaz-Boïls|Jonathan Gallagher|Pavel Hrubes,MFPS,conf/mfps/2012,,https://doi.org/10.1016/j.entcs.2012.08.009|https://www.wikidata.org/entity/Q113318084,journals/entcs/CockettDGH12,,117-137,"Timed Sets, Functional Complexity, and Computability.",,2012,J. Robin B. Cockett,https://doi.org/10.1016/j.entcs.2012.08.009|https://www.wikidata.org/entity/Q113318084,computability|functional|timed|complexity|data modeling|sets
344953,Nicolas Peltier,FTP,conf/ftp/2003,,https://doi.org/10.1016/S1571-0661(04)80655-8,journals/entcs/Peltier03,,91-104,A Resolution-based Model Building Algorithm for a Fragment of OCC1N=.,,2003,Nicolas Peltier,https://doi.org/10.1016/S1571-0661(04)80655-8,building|model|resolutionbased|algorithm|fragment|occ1n
344954,Don Syme,ML,conf/ml/2005,,https://doi.org/10.1016/j.entcs.2005.11.038,journals/entcs/Syme06,,3-25,Initializing Mutually Referential Abstract Objects: The Value Recursion Challenge.,,2005,Don Syme,https://doi.org/10.1016/j.entcs.2005.11.038,initializing|abstract|mutually|indexing|recursion|referential|value|challenge|objects
344955,Jean-Louis Giavitto|Pierre-Etienne Moreau,RULE@RDP,conf/rule/2003,,https://doi.org/10.1016/S1571-0661(05)80681-4,journals/entcs/GiavittoM03,,153-154,Preface.,,2003,Jean-Louis Giavitto,https://doi.org/10.1016/S1571-0661(05)80681-4,preface
344956,Alan Jeffrey,HOOTS,conf/hoots/2000,,https://doi.org/10.1016/S1571-0661(05)80875-8,journals/entcs/Jeffrey00,,89,Preface.,,2000,Alan Jeffrey,https://doi.org/10.1016/S1571-0661(05)80875-8,preface
344957,Alexander V. Lyaletski|Marina Morokovets,Calculemus,conf/calculemus/1999,,https://doi.org/10.1016/S1571-0661(05)80617-6,journals/entcs/LyaletskiM99,,481-498,On linguistic aspects of integration of computer mathematical knowledge.,,1999,Alexander V. Lyaletski,https://doi.org/10.1016/S1571-0661(05)80617-6,data processing|integration|aspects|linguistic|knowledge|mathematical|computer
344958,Alberto Lluch-Lafuente|Dan Hirsch|Emilio Tuosto,QAPL,conf/qapl/2005,,https://doi.org/10.1016/j.entcs.2005.10.036|https://www.wikidata.org/entity/Q56501856,journals/entcs/HirschLT06,,135-159,A Logic for Application Level QoS.,,2005,Alberto Lluch-Lafuente,https://doi.org/10.1016/j.entcs.2005.10.036|https://www.wikidata.org/entity/Q56501856,qos|application|logic|level
344961,Mark Braverman,CCA,conf/cca/2004,,https://doi.org/10.1016/j.entcs.2004.06.031,journals/entcs/Braverman05,,17-30,Hyperbolic Julia Sets are Poly-Time Computable.,,2004,Mark Braverman,https://doi.org/10.1016/j.entcs.2004.06.031,julia|polytime|computable|data modeling|hyperbolic|sets
344962,Luc Engelen|Mark van den Brand,LDTA,conf/ldta/2009,,https://doi.org/10.1016/j.entcs.2010.08.035,journals/entcs/EngelenB10,,105-120,Integrating Textual and Graphical Modelling Languages.,,2009,Luc Engelen,https://doi.org/10.1016/j.entcs.2010.08.035,languages|modelling|graphical|textual|big data|integrating
344963,Hélène Jacquet|Michel Bauderon|Renate Klempien-Hinrichs,GETGRATS Closing Workshop,conf/getgrats/2001,,https://doi.org/10.1016/S1571-0661(04)80193-2,journals/entcs/BauderonJK01,,83-92,Pullback rewriting and applications.,,2001,Hélène Jacquet,https://doi.org/10.1016/S1571-0661(04)80193-2,rewriting|pullback|applications|data management
344964,João Marques-Silva 0001,BMC@FLoC,conf/bmc/2006,,https://doi.org/10.1016/j.entcs.2006.12.021,journals/entcs/Marques-Silva07,,31-43,Interpolant Learning and Reuse in SAT-Based Model Checking.,,2006,João Marques-Silva 0001,https://doi.org/10.1016/j.entcs.2006.12.021,satbased|interpolant|model|reuse|checking|learning
344965,Andrej Bauer|Michael W. Mislove,MFPS,conf/mfps/2008,,https://doi.org/10.1016/j.entcs.2008.10.001,journals/entcs/BauerM08,,1-4,Preface.,,2008,Andrej Bauer,https://doi.org/10.1016/j.entcs.2008.10.001,preface
344966,Kai Engelhardt,Refine,conf/refine/2002,,https://doi.org/10.1016/S1571-0661(05)80491-8,journals/entcs/Engelhardt02,,178,Towards a refinement theory that supports reasoning about knowledge and time for multiple agents.,,2002,Kai Engelhardt,https://doi.org/10.1016/S1571-0661(05)80491-8,refinement|supports|agents|time|knowledge|multiple|theory|towards|reasoning
344967,Gheorghe Stefanescu,WDS@FCT,conf/fct/1999wds,,https://doi.org/10.1016/S1571-0661(05)80624-3,journals/entcs/Stefanescu99,,1-2,Preface.,,1999,Gheorghe Stefanescu,https://doi.org/10.1016/S1571-0661(05)80624-3,preface
