proceedings:ID,booktitle:string,editor:string[],ee:string[],key:string,number:string,title:string,volume:string,year:int,in_selected_ip_subset,doi,edition
8695109,CoOrg@COORDINATION,Guido Boella|Leendert van der Torre,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/150/issue/3,conf/coordination/2005coorg,3,"Proceedings of the First International Workshop on Coordination and Organisation, CoOrg@COORDINATION 2005, Namur, Belgium, April 23, 2005",150,2006,True,,150
8695111,InterDB@COORDINATION,Djamal Benslimane|Philippe Thiran|Tore Risch,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/150/issue/2,conf/coordination/2005interdb,2,"Proceedings of the International Workshop on Database Interoperability, InterDB@COORDINATION 2005, Namur, Belgium, April 23, 2005",150,2006,True,,150
8709788,PASM,Jeremy T. Bradley|William J. Knottenbelt,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/128/issue/4,conf/pasm/2004,4,"Proceedings of the First International Workshop on Practical Applications of Stochastic Modelling, PASM 2004, London, UK, September 4, 2004",128,2005,True,,128
8709789,PASM@FM,Nigel Thomas,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/151/issue/3,conf/pasm/2005,3,"Proceedings of the Second International Workshop on the Practical Application of Stochastic Modeling, PASM@FM 2005, Newcastle-upon-Tyne, UK, July 18, 2005",151,2006,True,,151
8709793,PASM,Katinka Wolter|Matthew Forshaw|Nigel Thomas|William J. Knottenbelt,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/337/suppl/C,conf/pasm/2017,,"Proceedings of the Ninth International Workshop on the Practical Application of Stochastic Modelling, PASM 2017, Berlin, Germany, September 9, 2017",337,2018,True,,337
8709796,PASM,Jeremy T. Bradley|Nigel Thomas|William J. Knottenbelt,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/310/suppl/C,conf/pasm/2014,,"Proceedings of the Seventh International Workshop on the Practical Application of Stochastic Modelling, PASM 2014, Newcastle-upon-Tyne, UK, May 2014",310,2015,True,,310
8709799,PASM/PDMC,Jeremy T. Bradley|Keijo Heljanko|Nigel Thomas|William J. Knottenbelt,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/296/suppl/C,conf/pasm/2012,,"Proceedings the Sixth International Workshop on the Practical Application of Stochastic Modelling, PASM 2012, and the Eleventh International Workshop on Parallel and Distributed Methods in Verification, PDMC 2012, London, UK, September 2012",296,2013,True,,296
8709802,PASM,Anne Remke|Boudewijn R. Haverkort|Nigel Thomas|William J. Knottenbelt,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/327/suppl/C,conf/pasm/2016,,"8th International Workshop on Practical Application of Stochastic Modeling, PASM 2016, Münster, Germany, April 2016",327,2016,True,,327
8722581,Complex Adaptive Systems,Cihan H. Dagli,https://www.sciencedirect.com/science/journal/18770509/6,conf/complexsystems/2011,,"Proceedings of the Complex Adaptive Systems 2011 Conference, Chicago, Illinois, USA, October 31-November 2, 2011",6,2011,True,,6
8722781,Complex Adaptive Systems,Cihan H. Dagli,https://www.sciencedirect.com/science/journal/18770509/12,conf/complexsystems/2012,,"Proceedings of the Complex Adaptive Systems 2012 Conference, Washington, DC, USA, November 14-16, 2012",12,2012,True,,12
8758240,DCM@ICALP,Ian Mackie|Maribel Fernández,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/135/issue/3,conf/dcm/2005,3,"Proceedings of the First International Workshop on Developments in Computational Models, DCM@ICALP 2005, Lisbon, Portugal, July 10, 2005",135,2006,True,,135
8758241,DCM@ICALP,Mariangiola Dezani|Vincent Danos,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/192/issue/3,conf/dcm/2007,3,"Proceedings of the Third International Workshop on Developments in Computational Models, DCM@ICALP 2007, Wroclaw, Poland, July 15, 2007",192,2008,True,,192
8758242,DCM@ICALP,Ian Mackie|Jean-Pierre Jouannaud,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/171/issue/3,conf/dcm/2006,3,"Proceedings of the Second International Workshop on Developments in Computational Models, DCM@ICALP 2006, Venice, Italy, July 16, 2006",171,2007,True,,171
8766005,ICE@ICALP,Angelo Troina|Davide Grohmann|Emilio Tuosto|Filippo Bonchi|Paola Spoletini,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/229/issue/3,conf/ice/2008,3,"Proceedings of the First Interaction and Concurrency Experiences Workshop, ICE@ICALP 2008, Reykjavik, Iceland, July 6, 2008",229,2009,True,,229
8768961,Euler,Peter Rodgers 0001,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/134/suppl/C,conf/euler/2004,,"Proceedings of the First International Workshop on Euler Diagrams, Euler 2004, Brighton, UK, September 22-23, 2004",134,2005,True,,134
8776891,TTSS,Geguang Pu|Volker Stolz,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/207/suppl/C,conf/ttss/2007,,"Proceedings of the 1st International Workshop on Harnessing Theories for Tool Support in Software, TTSS 2007, Macau, September 22-23, 2007",207,2008,True,,207
8776892,TTSS,Jinyun Xue|Volker Stolz,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/309/suppl/C,conf/ttss/2013,,"Proceedings of the Sixth International Workshop on Harnessing Theories for Tool Support for Software, TTSS 2013, Jiangxi Normal University, Nanchang, China, October 27, 2013",309,2014,True,,309
8811048,CLA,Marek Zaionc|Pierre Lescanne|René David,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/140/suppl/C,conf/wcla/2004,,"Proceedings of the Second Workshop on Computational Logic and Applications, CLA 2004, Lyon, France, June 17-18, 2004",140,2005,True,,140
8811599,TV@FLoC,Ganesh Gopalakrishnan|John O'Leary,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/174/issue/9,conf/floc/2006tv,9,"Proceedings of the Thread Verification Workshop, TV@FLoC 2006, Seattle, WA, USA, August 21-22, 2006",174,2007,True,,174
8811600,SMC@FLoC,Alessandro Cimatti|Orna Grumberg,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/23/issue/2,conf/floc/1999smc,2,"First International Workshop on Symbolic Model Checking, SMC 1999, associated to FLoC'99, the 1999 Federated Logic Conference, Trento, Italy, July 6, 1999",23,1999,True,,23
8811601,Realizability Semantics and Applications@FLoC,Dana S. Scott|Giuseppe Rosolini|Jaap van Oosten|Lars Birkedal,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/23/issue/1,conf/floc/1999rsa,1,"Tutorial Workshop on Realizability Semantics and Applications, associated to FLoC'99, the 1999 Federated Logic Conference, Trento, Italy, June 30 - July 1, 1999",23,1999,True,,23
8811602,V&D@FLoC,Fabio Somenzi|Marco Roveri|Roderick Bloem,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/174/issue/4,conf/floc/2006vd,4,"Proceedings of the Workshop on Verification and Debugging, V&D@FLoC 2006, Seattle, WA, USA, August 21, 2006",174,2007,True,,174
8819454,SoftMC@CAV,Byron Cook|Scott D. Stoller|Willem Visser,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/144/issue/3,conf/softmc/2005,3,"Proceedings of the 3rd Workshop on Software Model Checking, SoftMC@CAV 2005, Edinburgh, UK, July 11, 2005",144,2006,True,,144
8824464,NIPS Causality: Objectives and Assessment,Bernhard Schölkopf|Dominik Janzing|Isabelle Guyon,http://proceedings.mlr.press/v6/,conf/nips/2008coa,,"Causality: Objectives and Assessment (NIPS 2008 Workshop), Whistler, Canada, December 12, 2008",6,2010,True,,6
8825248,NIPS Mini-Symposium on Causality in Time Series,Florin Popescu|Isabelle Guyon,http://proceedings.mlr.press/v12/,conf/nips/2009mscts,,"Neural Information Processing Systems (NIPS) Mini-Symposium on Causality in Time Series, Vancouver, Canada, December 10, 2009",12,2011,True,,12
8840228,COLT,Sham M. Kakade|Ulrike von Luxburg,http://proceedings.mlr.press/v19/,conf/colt/2011,,"COLT 2011 - The 24th Annual Conference on Learning Theory, June 9-11, 2011, Budapest, Hungary",19,2011,True,,19
8841690,COLT,Nathan Srebro|Robert C. Williamson|Shie Mannor,http://proceedings.mlr.press/v23/,conf/colt/2012,,"COLT 2012 - The 25th Annual Conference on Learning Theory, June 25-27, 2012, Edinburgh, Scotland",23,2012,True,,23
8843275,BioConcur@CONCUR,Cosimo Laneve|Vincent Danos,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/180/issue/3,conf/concur/2003bio,3,"Proceedings of the First Workshop on Concurrent Models in Molecular Biology, BioConcur@CONCUR 2003, Marseille, France, September 6, 2003",180,2007,True,,180
8843284,GT-VC@CONCUR,Arend Rensink|Barbara König 0001|Reiko Heckel,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/175/issue/4,conf/concur/2006gtvc,4,"Proceedings of the Workshop on Graph Transformation for Concurrency and Verification, GT-VC@CONCUR 2006, Bonn, Germany, August 31, 2006",175,2007,True,,175
8843656,GT-VC@CONCUR,Arend Rensink|Barbara König 0001|Reiko Heckel,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/213/issue/1,conf/concur/2007gtvc,1,"Proceedings of the Third Workshop on Graph Transformation for Concurrency and Verification, GT-VC@CONCUR 2007, Lisbon, Portugal, September 3, 2007",213,2008,True,,213
8843881,PDMC@CONCUR,Lubos Brim|Orna Grumberg,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/68/issue/4,conf/concur/2002pdmc,4,"Parallel and Distributed Model Checking, PDMC 2002, Satellite Workshop of CONCUR 2002, Brno, Czech Republic, August 19, 2002",68,2002,True,,68
8844196,"Categorical Methods for Concurrency, Interaction, and Mobility @ CONCUR",Alexander Kurz 0001,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/68/issue/1,conf/concur/2002cmcim,1,"Categorical Methods for Concurrency, Interaction, and Mobility 2002, CONCUR 2002 Satellite Workshop, Brno, Czech Republic, August 24, 2002",68,2002,True,,68
8844326,GT-VC@CONCUR,Arend Rensink|Barbara König 0001|Reiko Heckel,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/154/issue/2,conf/concur/2005gtvc,2,"Proceedings of the Workshop on Graph Transformation for Verification and Concurrency, GT-VC 2005, Satellite Event of CONCUR 2005, San Francisco, CA, USA, August 22, 2005",154,2006,True,,154
8874986,ARSPA@IJCAR,Alessandro Armando|Luca Viganò 0001,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/125/issue/1,conf/arspa/2004,1,"Proceedings of the Workshop on Automated Reasoning for Security Protocol Analysis, ARSPA@IJCAR 2004, Cork, Ireland, July 4, 2004",125,2005,True,,125
8874987,ARSPA@ICALP,Luca Viganò 0001|Pierpaolo Degano,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/135/issue/1,conf/arspa/2005,1,"Proceedings of the Second Workshop on Automated Reasoning for Security Protocol Analysis, ARSPA@ICALP 2005, Lisbon, Portugal, July 16, 2005",135,2005,True,,135
8881566,GETCO,Eric Goubault|Jeremy Gunawardena|Lisbeth Fajstrup|Martin Raussen|Maurice Herlihy|Patrick Cousot|Vladimiro Sassone,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/52/issue/2,conf/getco/2001,2,"3rd Workshop on GEometry and Topology in COncurrency theory, GETCO 2001, Satellite Event of CONCUR 2001, Aalborg, Denmark, August 25, 2001",52,2002,True,,52
8881567,GETCO,Eric Goubault|Jeremy Gunawardena|Martin Raussen|Maurice Herlihy|Patrick Cousot|Vladimiro Sassone,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/39/issue/2,conf/getco/2000,2,"2nd Workshop on Geometry and Topology in Concurrency theory, GETCO 2000, Satellite Workshop of CONCUR 2000, State College, PA, USA, August 21, 2000",39,2000,True,,39
8881568,CMCIM/GETCO@CONCUR,Alexander Kurz 0001|Eric Goubault|Thomas T. Hildebrandt|Ulrich Fahrenberg,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/100/suppl/C,conf/getco/2003,,"Combined Proceedings of the Second Workshop on Categorical Methods for Concurrency, Interaction, and Mobility, CMCIM 2003, and the Fifth Workshop on Geometric and Topological Methods in Concurrency, GETCO 2003, Satellite Events of CONCUR 2003, Marseille, France, September 6, 2003",100,2004,True,,100
8881569,GETCO,Eric Goubault|Lisbeth Fajstrup|Martin Raussen|Maurice Herlihy|Patrick Cousot|Vladimiro Sassone,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/81/suppl/C,conf/getco/2002,,"4th Workshop on GEometry and Topology in COncurrency and distributed systems theory, GETCO 2002, Satellite workshop of DISC 2002, Toulouse, France, October 2002",81,2003,True,,81
8881570,GETCO,Eric Goubault|Lisbeth Fajstrup|Martin Raussen,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/283/suppl/C,conf/getco/2010,,"Proceedings of the workshop on Geometric and Topological Methods in Computer Science, GETCO 2010, Aalborg, Denmark, January 11-15, 2010",283,2012,True,,283
8888535,HLCL,Benjamin C. Pierce|Uwe Nestmann,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/16/issue/3,conf/hlcl/1998,3,"3rd International Workshop on High-Level Concurrent Languages, HLCL 1998, Satellite Workshop of CONCUR 1998, Nice, France, September 12, 1998",16,1998,True,,16
8888536,HLCL,John H. Reppy|Peter Sewell,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/41/issue/2,conf/hlcl/2000,2,"4th International Workshop on High-Level Concurrent Languages, HLCL 2000, Satellite to PLI 2000, Montreal, Canada, September 20, 2000",41,2000,True,,41
8895461,CSER,Carlee Bishop|Christiaan J. J. Paredis|Douglas A. Bodner,https://www.sciencedirect.com/science/journal/18770509/16,conf/cser/2013,,"Proceedings of the Conference on Systems Engineering Research, CSER 2013, Atlanta, Georgia, USA, March 19-22, 2013",16,2013,True,,16
8895485,CSER,Cihan H. Dagli,https://www.sciencedirect.com/science/journal/18770509/8,conf/cser/2012,,"Proceedings of the Conference on Systems Engineering Research, CSER 2012, St. Louis, MO, USA, March 19-22, 2012",8,2012,True,,8
8899223,RP,Igor Potapov|Vesa Halava,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/223/suppl/C,conf/rp/2008,,"Proceedings of the Second Workshop on Reachability Problems in Computational Models, RP 2008, Liverpool, UK, September 15-17, 2008",223,2008,True,,223
8900299,REFINE,Eerke A. Boiten|John Derrick,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/137/issue/2,conf/refine/2005,2,"Proceedings of the REFINE 2005 Workshop, REFINE 2005, Guildford, UK, April 2005",137,2005,True,,137
8900307,REFINE@IFM,Eerke A. Boiten|Graeme Smith 0001|John Derrick,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/201/suppl/C,conf/refine/2007,,"Proceedings of the BCS-FACS Refinement Workshop, REFINE@IFM 2007, Oxford, UK, July 2007",201,2008,True,,201
8900316,Refine@FM,Eerke A. Boiten|Gerhard Schellhorn|John Derrick,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/214/suppl/C,conf/refine/2008,,"Proceedings of the 13th BAC-FACS Refinement Workshop, Refine@FM 2008, Turku, Finland, May 27, 2008",214,2008,True,,214
8900326,Refine,Eerke A. Boiten|Jim Woodcock 0001|Joakim von Wright|John Derrick,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/70/issue/3,conf/refine/2002,3,"BCS FACS Refinement Workshop 2002, Refine 2002, Satellite Event of FLoC 2002, Copenhagen, Denmark, July 20-21, 2002",70,2002,True,,70
8900328,Refine@ICFEM,Bernhard K. Aichernig|Eerke A. Boiten|John Derrick|Lindsay Groves,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/187/suppl/C,conf/refine/2006,,"Proceedings of the 11th Refinement Workshop, Refine@ICFEM 2006, Macao, October 31, 2006",187,2007,True,,187
8912015,FM-Elsewhere@FORTE/PSTV,Howard Bowman,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/43/suppl/C,conf/forte/2000fme,,"Formal Methods Elsewhere - a Satellite Workshop of FORTE-PSTV-2000 devoted to applications of formal methods to areas other than communication protocols and software engineering, FM-Elsewhere 2000, Pisa, Italy, October 2000",43,2001,True,,43
8927146,INFINITY,Faron Moller|Julian C. Bradfield,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/138/issue/3,conf/infinity/2004,3,"Proceedings of the 6th International Workshop on Verification of Infinite-State Systems, INFINITY 2004, London, UK, September 4, 2004",138,2005,True,,138
8927147,INFINITY,Jirí Srba|Scott A. Smolka,https://www.sciencedirect.com/journal/electronic-notes-in-theoretical-computer-science/vol/149/issue/1,conf/infinity/2005,1,"Proceedings of the 7th International Workshop on Verification of Infinite-State Systems, INFINITY 2005, San Francisco, CA, USA, August 27, 2005",149,2006,True,,149
