author_list,crossref:string[],publish_count
Alexandre Madeira,conf/lsfa/2017,2
Geguang Pu,conf/ttss/2007,2
Erik P. de Vink,conf/lcmas/2004,2
Ahmed Bouajjani,conf/infinity/2004,2
Frank Wagner 0001,conf/atmos/2001,2
Klaus Keimel,conf/comprox/1997,2
Ahmed Khoumsi,conf/sbmf/2004,2
Lydie du Bousquet,conf/mbt/2007,2
Klaus Havelund,conf/rv/2001,2
Klaus Fischer 0001,conf/agents/2001semas,2
Eric Goubault,conf/getco/2010,2
Pierluigi Crescenzi,conf/ictcs/2015,2
Adam Bjorndahl,journals/corr/Lang17a,2
Fernando Sáenz-Pérez,conf/prole/2011,2
Raphaël Cauderlier,journals/corr/KaliszykP15,2
Ranko Lazic 0001,conf/infinity/2004,2
Gerardo Schneider,conf/fesca/2009,2
Rasmus Ejlers Møgelberg,conf/mfps/2005,2
Wenfeng Zhang,conf/isdt/2013,2
Peter McBurney,conf/etaps/2005finco,2
Rasmus Ejlers Møgelberg,conf/mfps/2015,2
Achim Jung,conf/mfps/2014,2
Fernando Luís Dotti,conf/sbmf/2005,2
Yves Ledru,conf/mbt/2007,2
Lennart Beringer,conf/cocv/2006,2
Lennart C. L. Kats,conf/ldta/2009,2
Zakaria Maamar,conf/context/2005cws,2
Ernesto Pimentel 0001,conf/icalp/2002fmci,2
Alessandro Armando,conf/arspa/2004,2
Yixiang Chen,conf/isdt/2009,2
Luca Viganò 0001,conf/arspa/2005,2
Luca Viganò 0001,conf/arspa/2004,2
Friedrich Martin Schneider,conf/wact/2013,2
Alessandro Cimatti,conf/smt/2005,2
Ezio Bartocci,journals/corr/BortolussiBP13,2
Prakash Panangaden,conf/dtmpp/2003,2
Prakash Panangaden,conf/mfps/2008,2
Alessio Lomuscio,conf/lcmas/2004,2
Fairouz Kamareddine,conf/wollic/2002,2
Fairouz Kamareddine,conf/mkm/2003s,2
Alessandro Armando,conf/calculemus/1999,2
Kenny Wong,conf/atem/2003,2
Kenneth S. Stevens,conf/fmgals/2007,2
Yi Chang 0001,conf/icml/2010ltr,2
Fabio Martinelli,conf/vodca/2006,2
Lubos Brim,conf/concur/2002pdmc,2
Lubos Brim,conf/pdmc/2003,2
Paulo Sérgio Muniz Silva,conf/sbmf/2004,2
Louis Wehenkel,conf/pkdd/2008fsdm,2
Luca Cardelli,conf/birthday/2007plotkin,2
Alessandra Di Pierro,conf/qapl/2004,2
Alessandra Di Pierro,conf/qapl/2001,2
Frédéric Dadeau,conf/mbt/2007,2
Frédéric Dadeau,conf/mbt/2009,2
Gabriele Taentzer,conf/gtvmt/2001,2
Alain Finkel,conf/infinity/2006-07-08,2
François Pottier,conf/ml/2005,2
Kim G. Larsen,journals/corr/abs-1212-3454,2
Esra Erdem 0001,journals/corr/abs-2009-09158,2
Luoshan Xu,conf/isdt/2017,2
Paul Curzon,conf/fmis/2007,2
Alexandra Tsyban,conf/ssv/2008,2
Lutz Schröder,conf/mfps/2015,2
Paul Curzon,conf/icfem/2006fmis,2
Alain Finkel,conf/infinity/1997,2
Xiaoquan Xu,conf/isdt/2013,2
Gavin Lowe,conf/avocs/2007,2
Gavin C. Cawley,conf/aistats/2010w,2
Karim Nour,conf/wcla/2004,2
Yoshua Bengio,conf/icml/2011utl,2
Farhad Arbab,conf/facs2/2005,2
Ganesh Gopalakrishnan,conf/birthday/2007lindstrom,2
Keye Martin,conf/mfps/2008,2
Gabriele Taentzer,conf/vlfm/2004,2
Fang Li 0010,journals/corr/abs-2109-07914,2
Eugenio G. Omodeo,conf/relmis/2001,2
Radu Mardare,conf/mfps/2014,2
François-Régis Sinot,conf/wrs/2007,2
Alexander Kurz 0001,conf/cmcs/2010,2
Alexander Kurz 0001,conf/cmcs/2002,2
Rafael Caballero 0001,conf/wflp/2006,2
Yoshinao Isobe,conf/avocs/2008,2
Luigi V. Mancini,conf/icalp/2006wcan,2
Farhad Arbab,conf/icalp/2002fmci,2
Ganesh Gopalakrishnan,conf/nsv/2015,2
Farhad Arbab,conf/foclasa/2009,2
Farhad Arbab,conf/foclasa/2008,2
Lubos Brim,conf/pdmc/2004,2
Elham Kashefi,conf/qpl/2005,2
Reiko Heckel,conf/fovmt/2004,2
Vítor Santos Costa,conf/iclp/1999pitlp,2
Volker Sorge,conf/calculemus/1999,2
Aad van Moorsel,conf/ukpew/2017,2
Reiko Heckel,conf/gg/2002sett,2
Gianluigi Zavattaro,conf/secco/2004,2
René David,conf/wcla/2004,2
Elvira Albert,conf/bytecode/2007,2
Juan Manuel Murillo,conf/wcat/2006,2
Elena Zucca,conf/ictcs/2015,2
Anamaria Martins Moreira,conf/sbmf/2005,2
Volker Stolz,conf/ttss/2007,2
Ana Cristina Rocha Oliveira,conf/lsfa/2015,2
Zoltán Porkoláb,conf/wgt/2008,2
Paola Giannini,conf/ictcs/2015,2
Emanuela Merelli,conf/cs2bio/2014,2
Lauri Hella,conf/wollic/2003,2
Julia Padberg,conf/unigra/2001,2
Emanuela Merelli,conf/fbtc/2008,2
Francisco Durán 0001,conf/wrs/2004,2
Francesco Logozzo,conf/vmcai/2005aiool,2
Paolo Milazzo,conf/mecbic/2008,2
Flavio Corradini,conf/express/1997,2
Laurent Van Begin,conf/avocs/2004,2
Paqui Lucio,conf/prole/2007,2
Marc Lasson,conf/mfps/2014,2
Peter Selinger,conf/qpl/2005,2
Flavio Corradini,conf/express/2004,2
Manuel A. Martins 0001,conf/lsfa/2017,2
Ádám Sipos,conf/wgt/2008,2
Giampaolo Bella,conf/vodca/2004,2
Amy P. Felty,conf/lsfa/2017,2
Germán Puebla,conf/bytecode/2007,2
Welf Löwe,conf/soco/2003,2
Elke Pulvermüller,conf/soco/2002,2
Paliath Narendran,journals/corr/abs-1012-4554,2
Zhiming Liu 0001,conf/facs2/2005,2
Philipp Sünderhauf,conf/realcomp/1998,2
Wendelin Serwe,conf/wflp/2001,2
Leendert W. N. van der Torre,conf/coordination/2005coorg,2
Lars Birkedal,conf/mfps/2005,2
Moshe Y. Vardi,conf/concur/2002pdmc,1
Miklós Telek,conf/pasm/2004,1
Pedro T. Monteiro 0001,conf/sasb/2016,1
Pedro R. D'Argenio,journals/corr/CrafaG15,1
Miklós Kurucz,conf/kdd/2009kddcup,1
Pedro Rangel Henriques,conf/ldta/2002,1
Moshe Y. Vardi,conf/bmc/2004,1
Pedro Rangel Henriques,conf/ldta/2006,1
Pedro Rafael Márquez-Gutiérrez,journals/corr/abs-1909-07646,1
Miklós Bartha,journals/corr/abs-1006-1937,1
Peter W. O'Hearn,conf/mfps/2006,1
Pedro Sánchez Terraf,conf/lsfa/2018,1
Murdoch James Gabbay,journals/corr/abs-1009-2189,1
Murdoch Gabbay,conf/wflp/2007,1
Pedro R. D'Argenio,conf/qapl/2009,1
Muffy Calder,conf/avocs/2004,1
Peter Van Roy,conf/facs2/2006,1
Mikhail Posypkin,conf/ldta/2003,1
Petr Hnetynka,conf/fesca/2012,1
Mustapha Bourahla,conf/fmics/2002,1
Mustapha Bourahla,conf/fmics/2004,1
Pedro Pablo Pérez Velasco,conf/prole/2007,1
Mustapha Bourahla,conf/wollic/2004,1
Musab AlTurki,conf/wwv/2007,1
Mikkel Bundgaard,conf/express/2004,1
Petr Bauch,journals/corr/abs-1111-0064,1
Mikkel Bundgaard,conf/secco/2007,1
Murray Cole,conf/qapl/2007,1
Pedro R. D'Argenio,conf/probmiv/1998,1
Mikkel Bundgaard,conf/express/2008,1
Mikkel Bundgaard,conf/concur/2005gtvc,1
Pedro Quaresma,conf/uitp/2006,1
Pedro Paulo Balbi de Oliveira,journals/corr/abs-1208-2498,1
Murray Stokely,conf/svv/2005,1
Musa Mohd Mokji,conf/inns-wc/2012,1
Milano Gadelha Carvalho,conf/soco/2002,1
Morteza Haghir Chehreghani,conf/icml/2011utl,1
Pedro R. D'Argenio,conf/qapl/2005,1
Miklós Telek,conf/pasm/2017,1
Peter Wegner,conf/cmcs/1999,1
Muhammad Torabi Dashti,conf/qapl/2007,1
Peter Widmayer,conf/atmos/2002,1
Milan Petkovic,conf/stm/2007,1
Mourad Debbabi,conf/cav/2001lacpv,1
Muhammad Usama Sardar,journals/corr/HermannsH17,1
Pei-Pei Li 0001,conf/acml/2010,1
Muhammad Fadlisyah,journals/corr/abs-1009-3982,1
Muffy Calder,conf/fbtc/2008,1
Muffy Calder,conf/avocs/2007,1
Muffy Calder,conf/arts/2004,1
Muck van Weerdenburg,conf/wrs/2006,1
Milad Niqui,conf/cmcs/2010,1
Muck van Weerdenburg,conf/facs2/2007,1
Muffy Calder,conf/avocs/2008,1
Muffy Calder,journals/corr/abs-1002-4919,1
Mu Sun,journals/corr/abs-1009-3982,1
Milan Ceska 0001,conf/avocs/2005,1
Milan Ceska 0002,journals/corr/abs-1111-0064,1
Milad Niqui,conf/cmcs/2006,1
Milan Krivánek,journals/corr/abs-1111-0064,1
Miklós Telek,conf/ukpew/2014,1
Murali Narasimha,conf/monterey/1998,1
Peter Wegner,conf/express/2001,1
Moshe Y. Vardi,journals/corr/abs-1106-0814,1
Murat Karaorman,conf/rv/2004,1
Murdoch Gabbay,conf/lfmtp/2006,1
Moshe Y. Vardi,conf/floc/1999smc,1
Peter Wegner,conf/etaps/2005finco,1
Murdoch Gabbay,conf/lfmtp/2007,1
Mikolaj Bojanczyk,journals/corr/BartolettiHKV16,1
Mila E. Majster-Cederbaum,conf/qapl/2006,1
Mila E. Majster-Cederbaum,conf/qapl/2005,1
Pedro da Rocha Pinto,conf/mfps/2015,1
Mostafa Ajallooeian,conf/acml/2010,1
Milan Urbásek,conf/unigra/2003,1
Peter Y. A. Ryan,conf/apn/2004wisp,1
Moshe Y. Vardi,journals/corr/abs-2009-09360,1
Naijun Zhan,conf/iclp/2003svv,1
Mike Whalen,conf/slap/2007,1
Pawel Pietrzak,conf/lpe/1999,1
Nancy A. Day,conf/fsen/2005,1
Nancy A. Lynch,conf/mbt/2006,1
Nafiseh Fekrazad Nobakht,conf/fsen/2005,1
Mike Monegan,conf/oopsla/1991a,1
Pawel Sobocinski 0001,conf/express/2002,1
Pawel Sobocinski 0001,conf/ice/2008,1
Nadia Busi,conf/lix/2006,1
Nadia Labai,journals/corr/PuppisV13,1
Nadia Nedjah,conf/cats/2000,1
Mike R. True,conf/mbt/2006,1
Nadim Sarrouh,journals/corr/abs-1204-5796,1
Pawel Sobocinski 0001,conf/gg/2004pngt,1
Nadine Chlass,conf/nips/2009mscts,1
Pawel Sobocinski 0001,conf/express/2006,1
Naeem Abbasi,journals/corr/BouhoulaIK13,1
Pawel Paczkowski,conf/mfcs/1998woc,1
Nancy A. Lynch,conf/smt/2006,1
Nancy D. Griffeth,conf/mbt/2006,1
Mikael Åkerholm,conf/fesca/2005,1
Mikael Hammar,conf/euler/2004,1
Pavol Cerný,journals/corr/abs-1210-2028,1
Naoki Kobayashi 0001,conf/express/2004,1
Pavol Cerný,journals/corr/FinkbeinerS14,1
Naoki Kobayashi 0001,conf/hlcl/1998,1
Pavlína Vareková,conf/pdmc/2008,1
Naoki Kobayashi 0001,conf/lfm/2004,1
Pavlína Vareková,conf/facs2/2006,1
Naoki Nishida 0001,conf/wflp/2003,1
Naoki Nishida 0001,journals/corr/Maneth13,1
Pavlo Golik,conf/kdd/2009kddcup,1
Naoki Nishida 0001,journals/corr/abs-1802-05862,1
Pavle Subotic,journals/corr/BjornerFRS14,1
Pavithra Prabhakar,conf/nsv/2015,1
Mikael Buchholtz,conf/qapl/2004,1
Petros Kefalas,journals/corr/abs-1008-3147,1
Nandamudi Lankalapalli Vijaykumar,journals/corr/BuhnovaHK14,1
Mike Guether,journals/corr/abs-0910-1605,1
Pawel Paczkowski,conf/infinity/1996,1
Nanjangud C. Narendra,conf/context/2005cws,1
Mike Gordon,conf/avocs/2005,1
Mike Dodds,conf/concur/2005gtvc,1
Mike D. Atkinson,conf/cats/2004,1
Petri Selonen,conf/uml/2003ocl,1
Mike Bond,conf/arspa/2004,1
Mike Behrisch,conf/wact/2013,1
Petros Belsis,conf/stm/2006,1
Pawel Sobocinski 0001,conf/sos/2007,1
Nadia Busi,conf/icalp/2002fwan,1
Pedro Merino 0001,conf/wflp/2002,1
Pedro J. Clemente,conf/ldta/2003,1
Mário Florido,conf/lsfa/2016,1
Mário Florido,conf/wflp/2001,1
Petr Kouznetsov,conf/getco/2002,1
Mário Florido,conf/wrs/2007,1
Mário Florido,journals/corr/CervesatoF17,1
Mário Florido,journals/corr/Rehof15,1
Mário Pereira,journals/corr/Rehof15,1
Nadia Busi,conf/foclasa/2002,1
Máté Kovács,conf/concur/2006gtvc,1
Mikhail Barash,journals/corr/EsikF14,1
Pedro Filipe,journals/corr/abs-2204-06359,1
Mônica Corrêa,conf/pasm/2005,1
Myla Archer,conf/strategies/2004,1
Mikhail Jiline,conf/pkdd/2008fsdm,1
Pedro Merino 0001,conf/fmics/2004,1
Pedro Merino 0001,conf/fmics/2002,1
Petr Jancar,conf/infinity/1997,1
Myong Kim,conf/rv/2003,1
Pedro Merino 0001,conf/cocv/2007,1
Petr Jancar,conf/mfcs/1998woc,1
Pedro López-García 0001,journals/corr/abs-2008-02483,1
Pedro L. Varela,conf/sasb/2016,1
Pedro Cabalar,journals/corr/abs-2009-09158,1
Paz Morillo,conf/icalp/2007wcan,1
Nachum Dershowitz,conf/wollic/2003,1
Mikhail Auguston,conf/soco/2004,1
Nachum Dershowitz,journals/corr/abs-1207-6821,1
Pawel Waszkiewicz,conf/mfps/2001,1
Mikel Luján,conf/ldta/2009,1
Pawel Sobocinski 0001,journals/corr/MunozP16,1
Nadia Busi,conf/apn/2004wisp,1
Nadia Busi,conf/fbtc/2007,1
Paz Morillo,conf/icalp/2006wcan,1
Nachum Dershowitz,conf/pdmc/2004,1
Pedro A. Valdés-Sosa,conf/nips/2009mscts,1
Pedro Baltazar,conf/qapl/2007,1
Naamah Swerdlin,conf/fbtc/2007,1
Pedro Adão,conf/qapl/2006,1
Nabil R. Adam,conf/stm/2006,1
Nabil R. Adam,journals/lncs/1993-759,1
Nachum Dershowitz,conf/dcm/2005,1
Nachum Dershowitz,conf/ftp/2003,1
Petr Svenda,conf/stm/2005,1
Nachum Dershowitz,conf/iclp/1999vlp,1
Mirabelle Nebut,conf/slap/2003,1
Mircea Marin,conf/wflp/2007,1
Mircea Marin,conf/mkm/2003s,1
Peter Habermehl,conf/infinity/2006-07-08,1
Peter Habermehl,conf/infinity/2005,1
Peter Selinger,conf/cav/2001lacpv,1
Peter Selinger,conf/ctcs/2002,1
Peter Habermehl,conf/infinity/2004,1
Peter H. Schmitt,conf/uml/2003ocl,1
Mirabelle Nebut,conf/etaps/2002slap,1
Mohammad Abdollahi Azgomi,conf/fmws/2008,1
Peter Herrmann,conf/uml/2003cvuml,1
Mircea-Dan Hernest,conf/dcm/2006,1
Peter Höfner,journals/corr/HermannsH17,1
Peter Höfner,conf/wwv/2007,1
Mohamed Hamada 0001,conf/cats/2000,1
Peter Höfner,conf/ifm/2005ds,1
Peter Housel,conf/babel/2001,1
Mohamed Mahdi Benmoussa,journals/corr/PangL14,1
Mircea-Dan Hernest,conf/lfmtp/2006,1
Mohamed Messabihi,journals/corr/abs-1010-2337,1
Mohamed Mosbah 0001,conf/concur/2005gtvc,1
Mohamed Mosbah 0001,conf/gtvmt/2001,1
Mohamed Mosbah 0001,conf/gtvmt/2002,1
Peter Selinger,journals/corr/abs-2109-04886,1
Peter Fritzson,conf/sos/2006,1
Peter Fritzson,conf/soco/2004,1
Peter Fritz,journals/corr/Ramanujam16,1
Mohammad Mahdi Jaghoori,conf/cs2bio/2013,1
Mohammad Mahdi Jaghoori,conf/fesca/2012,1
Mohammad Awedh,conf/bmc/2005,1
Peter Dybjer,conf/mfps/2008,1
Peter Dybjer,conf/mfps/2007,1
Peter Dybjer,conf/lfmtp/2007,1
Peter G. Hancock,conf/cmcs/2006,1
Mira Mezini,conf/ldta/2006,1
Peter G. Harrison,conf/qapl/2006,1
Mohammad Hejase,journals/corr/abs-1804-03406,1
Peter G. Harrison,conf/pasm/2004,1
Peter G. Hancock,conf/mfps/2009,1
Mirko Viroli,conf/secco/2003,1
Mitsuhiro Okada,conf/rule/2005,1
Mizuhito Ogawa,conf/bytecode/2009,1
Mizuhito Ogawa,conf/tapas2/2012,1
Mizuhito Ogawa,conf/wrs/2003,1
Peter Ljunglöf,conf/haskell/2000,1
Peter Lammich,journals/corr/BanerjeeDDH13,1
Peter Lamborn,conf/pdmc/2003,1
Mnacho Echenim,conf/ftp/2003,1
Mnacho Echenim,conf/smt/2006,1
Peter L. Montgomery,conf/stm/2007,1
Mnacho Echenim,conf/strategies/2006,1
Mirko Viroli,conf/secco/2004,1
Mirko Viroli,conf/wood/2004,1
Mirko Viroli,conf/wsfm/2004,1
Mirron Rozanov,conf/smt/2007,1
Peter Müller 0001,conf/bytecode/2007,1
Misa Keinänen,conf/fmics/2004,1
Peter Müller 0001,conf/bytecode/2005,1
Peter McBurney,conf/getco/2001,1
Mitchell Wand,conf/mfps/2011,1
Mirko Viroli,journals/corr/BeekL16,1
Mitsuhiro Okada,conf/cotic/1998,1
Peter Reid,journals/corr/abs-1110-4473,1
Mirko Conrad,conf/mbt/2004,1
Peter J. Stuckey,conf/rule/2005,1
Mohamed Benmohamed,conf/wollic/2004,1
Peter J. Freyd,conf/ctcs/1999,1
Mireille Ducassé,conf/rv/2001,1
Peter Knirsch 0001,conf/fovmt/2004,1
Moez Krichen,conf/rv/2004,1
Peter Rodgers 0001,conf/euler/2004,1
Peter Ross,conf/babel/2001,1
Peter Ryan 0001,conf/wsaif/1999,1
Mohamad Jaber 0001,journals/corr/abs-0912-0759,1
Peter Kourzanov,journals/corr/abs-2206-09534,1
Peter Schachte,conf/cats/2001,1
Mohamed A. El-Zawawy,conf/mfps/2006,1
Peter Knirsch 0001,conf/unigra/2003,1
Peter Knirsch 0001,conf/sbmf/2006,1
Peter Dickman,conf/oopsla/1991a,1
Moonzoo Kim,conf/mbt/2009,1
Peter Auer,conf/icml/2011otee,1
Peter Antal,conf/pkdd/2008fsdm,1
Moreno Falaschi,conf/agp/2000,1
Peter Andersen,conf/eclipse/2004ep,1
Moreno Falaschi,conf/cs2bio/2012,1
Moreno Falaschi,conf/rule/2004,1
Moreno Falaschi,conf/sasb/2014,1
Moreno Falaschi,conf/wflp/2001,1
Peter Aczel,conf/cmcs/2001,1
Moreno Falaschi,conf/wrs/2001,1
Peter Thiemann 0001,conf/hoots/2000,1
Peter Baumgartner 0001,conf/smt/2004,1
Monica Nesi,conf/wrs/2003,1
Moninder Singh,conf/kdd/2009kddcup,1
Monique Wiesinger,journals/corr/abs-1109-1044,1
Peter Braun 0003,conf/safecert/2008,1
Minghui Ma,journals/corr/GhoshR17,1
Ming-Ying Chung,conf/pdmc/2005,1
Ming-Syan Chen,journals/lncs/1993-759,1
Peter Braun,conf/gtvmt/2002,1
Peter Szulman,conf/fesca/2007,1
Moritz Hardt,conf/hylo/2006,1
Moritz Roidl,journals/corr/abs-1912-09611,1
Morten Kühnrich,conf/secco/2005,1
Milton Augustinis De Castro,conf/wollic/2005,1
Morten N. Nielsen,conf/atmos/2001,1
Moreno Falaschi,conf/wwv/2005e,1
Peter Thiemann 0001,conf/mpc/2002tip,1
Petar Maksimovic,journals/corr/CervesatoC15,1
Perla Velasco Elizondo,conf/abmb/2005,1
Per Mellstrand,conf/secco/2003,1
Per Håkon Meland,journals/corr/KordyMP14,1
Min-Hsien Weng,conf/fm/2015use,1
Peter Padawitz,conf/wflp/2006,1
Morgan Magnin,conf/cs2bio/2013,1
Morgan Magnin,conf/softmc/2005,1
Min Zhang 0007,conf/isdt/2009,1
Min Zhang 0002,conf/vsse/2013,1
Monica Nesi,conf/infinity/1996,1
Monica Nesi,conf/arspa/2005,1
Mohammed M. Olama,conf/pasm/2016,1
Peter Sewell,conf/hlcl/2000,1
Peter D. Mosses,conf/fovmt/2004,1
Peter Csaba Ölveczky,journals/corr/abs-1009-3982,1
Peter Sestoft,journals/corr/BanerjeeDDH13,1
Miquel Bertran,conf/prole/2004,1
Mohammad Reza Mousavi 0001,conf/sos/2006,1
Mohammad Reza Mousavi 0001,conf/sos/2007,1
Mohammad Reza Mousavi 0001,journals/corr/GosslerS16,1
Mohammad Reza Mousavi 0001,journals/corr/abs-1303-0379,1
Peter D. Mosses,conf/sos/2008,1
Peter D. Mosses,conf/sos/2006,1
Mohammad Waseem Hassan,conf/stm/2006,1
Peter D. Mosses,conf/sos/2005,1
Peter Buchlovsky,conf/mfps/2005,1
Peter Bubenik,conf/getco/2010,1
Mojmír Kretínský,conf/infinity/2003,1
Mojmír Kretínský,conf/infinity/2005,1
Mojmír Kretínský,conf/mfcs/1998woc,1
Peter Spirtes,conf/wcci/2008cpc,1
Peter Csaba Ölveczky,conf/unigra/2001,1
Minh Lê,conf/qmpd/2012,1
Peter Csaba Ölveczky,conf/rule/2006,1
Peter Collingbourne,conf/fesca/2008,1
Nathanaël Fijalkow,journals/corr/abs-2109-07798,1
Pavel Parízek,conf/fesca/2009,1
Pascal Lafourcade 0001,conf/icalp/2006secret,1
Ofer Strichman,conf/bmc/2003,1
Pascal Hitzler,conf/iclp/1999vlp,1
Ofer Strichman,conf/bmc/2004,1
Ofer Strichman,conf/bmc/2005,1
Ofer Strichman,conf/bmc/2006,1
Ofer Strichman,conf/smt/2005,1
Ofer Strichman,conf/smt/2007,1
Pascal Fradet,conf/rule/2004,1
Pascal Fradet,conf/dcm/2005,1
Pascal Fontaine,journals/corr/abs-2107-01544,1
Pascal Fontaine,journals/corr/abs-1712-00898,1
Pascal Fontaine,conf/smt/2004,1
Ola Angelsmark,conf/cmcs/2000,1
Pascal Bouvry,conf/coordination/2005mtcoord,1
Olaf Burkart,conf/infinity/1997,1
Pascal Poizat,conf/etaps/2004sfedl,1
Pascal Poizat,conf/facs2/2006,1
Pascal Raymond,conf/etaps/2002slap,1
Octavio Malherbe,conf/lsfa/2018,1
Pascal Sotin,conf/qapl/2008,1
Pascal Sotin,conf/nsad/2011,1
Pascal Schreck,journals/corr/abs-2112-14770,1
Pascal Raymond,conf/slap/2007,1
Octavio Zapata,journals/corr/abs-2004-14750,1
Pascal Raymond,conf/slap/2004,1
Pascal Poizat,conf/wcat/2006,1
Oded Maler,journals/corr/BertrandB14,1
Oded Shmueli,journals/lncs/1993-759,1
Oege de Moor,conf/eclipse/2004ep,1
Pascal Poizat,conf/foclasa/2007,1
Olaf Chitil,conf/termgraph/2006,1
Olaf Owe,conf/etaps/2007finco,1
Paritosh K. Pandya,conf/avocs/2004,1
Paritosh K. Pandya,journals/corr/abs-1909-05979,1
Paritosh K. Pandya,conf/etaps/2002slap,1
Olga Grinchtein,conf/infinity/2003,1
Parisa Ghodous,conf/coordination/2005interdb,1
Olga Hrydziuszko,conf/cs2bio/2014,1
Olga Kouchnarenko,conf/rp/2008,1
Olga Kouchnarenko,journals/corr/BuhnovaHK14,1
Parosh Aziz Abdulla,conf/rp/2008,1
Pascal André,journals/corr/abs-1010-2337,1
Partha S. Roop,conf/slap/2008,1
Partha S. Roop,conf/slap/2007,1
Partha S. Roop,conf/fesca/2006,1
Oleg Sokolsky,conf/monterey/1998,1
Partha S. Roop,conf/fesca/2005,1
Ole Lehrmann Madsen,conf/eclipse/2004ep,1
Oleg Kiselyov,conf/plpv/2006,1
Oleg Kiselyov,journals/corr/abs-1905-05909,1
Parosh Aziz Abdulla,journals/corr/abs-1302-3105,1
Oana Andrei,conf/termgraph/2009,1
Patrick Blackburn,journals/corr/abs-2010-15832,1
Nora Cuppens-Boulahia,conf/ics2/2006,1
Nora Szasz,conf/clei/2012s,1
Patrick Blackburn,conf/hylo/2006,1
Patricio Letelier 0001,conf/evol/2006s,1
Patricia Johann,conf/wrs/2001,1
Norbert Pataki,conf/wgt/2008,1
Patrick F. Smith,conf/calculemus/2005,1
Nobuko Yoshida,conf/dcm/2006,1
Nobuko Yoshida,conf/icalp/2002fwan,1
Nobuko Yoshida,conf/icalp/2006secret,1
Patrick Cégielski,conf/wollic/2004,1
Patrick Cousot,conf/sos/2007,1
Nobuko Yoshida,conf/lix/2006,1
Nobuko Yoshida,journals/corr/DonaldsonV14,1
Nobuko Yoshida,journals/corr/abs-1011-6012,1
Nobuko Yoshida,journals/corr/abs-2208-14777,1
Oana Andrei,conf/rule/2007,1
Pascale Le Gall,conf/fm/2015use,1
Pasquale Malacaria,journals/corr/abs-0910-4420,1
Pasquale Malacaria,conf/qapl/2004,1
Mikael Buchholtz,conf/mtcs/2001,1
Pasquale Malacaria,conf/qapl/2001,1
Pascual Julián Iranzo,conf/prole/2004,1
Nurlida Basir,conf/safecert/2008,1
Nurulhuda A. Manaf,journals/corr/ProencaT15,1
Pascal Zwick,journals/corr/abs-1907-03523,1
Pascal Zimmer,conf/itrs/2004,1
Pascal Zimmer,conf/express/2000,1
Pascal Van Hentenryck,journals/lncs/1994-910,1
Oana Andrei,conf/etaps/2011has,1
Nuno Macedo,journals/corr/abs-1811-09014,1
Norihiro Ogata,conf/wollic/2002,1
Patricia Bouyer,journals/corr/EsparzaT15,1
Patricia Bouyer,journals/corr/CantoneD16,1
Patricia Bouyer,conf/cav/2004gdv,1
Norzima Elbegbayan,conf/icfem/2006fmis,1
Nouha Oualha,conf/icalp/2007wcan,1
Noury Bouraqadi,conf/soco/2002,1
Patrice Chalin,conf/wwv/2005e,1
Nuno Amálio,conf/ifm/2005ds,1
Osmar Marchi dos Santos,conf/grabats/2004,1
Osmar Marchi dos Santos,conf/gtvmt/2004,1
Osmar Norberto de Souza,conf/cs2bio/2014,1
Paola Mello,conf/rule/2001,1
Ovidiu Gheorghies,conf/cmcs/1999,1
Ovidiu Radulescu,conf/sasb/2011,1
Ozan Kahramanogullari,conf/fbtc/2007,1
Paola Lecca,conf/concur/2003bio,1
Ozan Kahramanogullari,conf/rule/2007,1
Paola Inverardi,conf/mtcs/2000,1
Ozan Kahramanogullari,conf/wollic/2005,1
Ozan Kahramanogullari,journals/corr/abs-1907-03523,1
Osman Hasan,journals/corr/HermannsH17,1
Paola Giannini,journals/corr/abs-0911-2829,1
Osama E. S. El-Hassan,conf/coordination/2006coorg,1
Paolo Baldan,conf/termgraph/2006,1
Paolo Baldan,conf/termgraph/2004,1
Paolo Baldan,conf/gg/2004pngt,1
Osman Hasan,journals/corr/BouhoulaIK13,1
Paolo Baldan,conf/cs2bio/2013,1
Paolo Arcaini,journals/corr/abs-1811-09014,1
Oscar Porto,conf/atmos/2002,1
Paola Spoletini,conf/ice/2008,1
Paola Spoletini,conf/concur/2007gtvc,1
Osman Hasan,conf/fmws/2008,1
Paola Giannini,conf/wood/2004,1
Pablo F. Castro,conf/lics/2009laft,1
Pablo F. Castro,journals/corr/AguirreR14,1
Pablo Garralda,conf/dcm/2005,1
Pablo López,conf/foclasa/2007,1
Pamela Peretti,conf/vodca/2006,1
Pamela C. Laguna Laura,conf/clei/2016s,1
Pablo López,conf/lfm/2002,1
Pablo Virolainen,conf/mbt/2004,1
Paige Randall North,conf/mfps/2019,1
Pablo de la Fuente,conf/vlfm/2004,1
Padmanabhan Krishnan,conf/fct/1999wds,1
Paola Giannini,conf/wood/2003,1
P. J. A. van Tilburg,conf/express/2008,1
Paola Giannini,conf/icalp/2002fwan,1
Paola Giannini,conf/cs2bio/2012,1
Paola Flocchini,journals/corr/abs-1208-2498,1
P. Madhusudan,conf/bmc/2003,1
P. Madhusudan,journals/corr/abs-1207-3485,1
Paola Caymes-Scutari,conf/clei/2014s,1
P. S. Thiagarajan,conf/express/1998,1
Pankaj Kakkar,conf/hoots/1999,1
Panuwat Trairatphisan,journals/corr/abs-1109-1044,1
Pablo Amaya,conf/abmb/2005,1
Olivier Danvy,conf/hoots/1999,1
