author_list,crossref:string[],publish_count
Wiebe van der Hoek,conf/lcmas/2003,3
Oded Maler,conf/fac/2005,3
Alberto Verdejo,conf/wrla/2008,3
Mauro Pezzè,conf/tacos/2003,3
Mauro Pezzè,conf/tacos/2004,3
Yoshua Bengio,conf/aistats/2010,3
Ulrich Berger 0001,conf/mfps/2012,3
Shingo Kuroiwa,conf/mfcsit/2006,3
John Power,conf/mfps/2001,3
José Meseguer,conf/wrla/2002,3
Manuel Ojeda-Aciego,conf/icalp/2002uncl,3
Augusto Sampaio,conf/sbmf/2006,3
Gian Luigi Ferrari,conf/lipari/2001concoord,3
Peter Selinger,conf/qpl/2006,3
Luqi,conf/monterey/1998,3
Bastian Schlich,conf/ssv/2009,3
José Meseguer,conf/wrla/2008,3
Christel Baier,conf/probmiv/1998,3
Riccardo Focardi,conf/mefisto/2003,3
Mirko Viroli,conf/foclasa/2007,3
Colin de la Higuera,conf/icgi/2012,3
Renate Klempien-Hinrichs,conf/getgrats/2001,3
Mirko Viroli,conf/foclasa/2005,3
Shie Mannor,conf/colt/2011,3
Marcin S. Szczuka,conf/rskd/2003,3
Andrea Corradini 0001,conf/getgrats/2001,3
Mitsuhiro Okada,conf/lltm/1996,3
Gail C. Murphy,conf/oopsla/1992a,3
Nell B. Dale,conf/iticse/1999wgr,3
Andrea Corradini 0001,conf/segragra/1995,3
Gabriele Taentzer,conf/gtvmt/2006,3
Hélène Kirchner,conf/wrla/1996,3
Abbas Edalat,conf/comprox/1997,3
José Raymundo Marcial-Romero,conf/lanmr/2016s,3
Alessio Lomuscio,conf/lcmas/2003,3
Michel Bauderon,conf/getgrats/2001,3
Francisco Durán 0001,conf/wrla/2000,3
Joseph Y. Halpern,journals/corr/Lang17a,3
Karsten Ehrig,conf/gramot/2005,3
J. Ángel Velázquez-Iturbide,conf/pvw/2008,3
Guido Nolte,conf/nips/2008coa,2
Deborah Knox,conf/iticse/1999wgr,2
Demis Ballis,conf/wflp/2003,2
Robin Kaarsgaard,conf/mfps/2018,2
Guido Boella,conf/coordination/2005coorg,2
Jim Davies,conf/refine/2002,2
John Derrick,conf/refine/2006,2
Gul Agha,conf/oopsla/1988ocp,2
Rosario Pugliese,conf/tosca2/2001,2
John Derrick,conf/refine/2005,2
Tim Oates 0001,conf/icgi/2012,2
John Derrick,conf/refine/2002,2
Tsung-Ting Kuo,conf/kdd/2011kddcup,2
Antti Valmari,conf/fmics/2002,2
Gueorgui I. Jojgov,conf/mkm/2003s,2
Truyen Tran 0001,conf/acml/2012,2
Dietmar Seipel,journals/corr/SchwarzV17,2
Jochen Malte Küster,conf/gtvmt/2006,2
Insup Lee 0001,conf/rv/2002,2
Antônio Carlos da Rocha Costa,conf/weit/2015,2
Miguel Palomino,conf/prole/2004,2
Rosario Pugliese,conf/lipari/2001concoord,2
Rocco A. Servedio,conf/colt/2012,2
Azriel Rosenfeld,conf/iwcia/2001,2
Nicolas Magaud,journals/corr/abs-2112-14770,2
Arend Rensink,conf/express/1997,2
Tibor Kiss,journals/lncs/1991-546,2
Dinh Q. Phung,conf/acml/2012,2
Marjan Sirjani,conf/foclasa/2008,2
Dimitrios Milios,conf/pasm/2012,2
Rodney G. Downey,conf/cca/2002,2
Jianxin Wu 0001,conf/acml/2012,2
Jifeng He 0001,conf/sbmf/2004,2
Nicolas Markey,journals/corr/EsparzaT15,2
Roderick Bloem,conf/floc/2006vd,2
Mieke Massink,conf/forte/2000fme,2
Nikos Manouselis,conf/recsys/2010recsystel,2
Gwen Salaün,conf/foclasa/2009,2
Jirí Adámek,conf/cmcs/2004,2
Gwen Salaün,conf/facs2/2007,2
Rong-Bing Chiu,conf/kdd/2011kddcup,2
Guy McCusker,conf/mfps/2010,2
Toacy Cavalcante de Oliveira,conf/ffss/1997,2
Jing Liu 0012,conf/ttss/2007,2
Marta Z. Kwiatkowska,conf/comprox/1997,2
Jirí Adámek,conf/cmcs/2001,2
Tom Mens,conf/grabats/2002,2
Tom Mens,conf/gramot/2005,2
Niko Myller,conf/pvw/2006,2
John Derrick,conf/refine/2008,2
Dennis de Champeaux,conf/oopsla/1991a,2
Shou-De Lin,conf/kdd/2011kddcup,2
Roman Pindur,conf/rskd/2003,2
Dieter Hutter,conf/agents/2001semas,2
Tobias Kuipers,conf/ldta/2001,2
Tobias Ley,conf/recsys/2010recsystel,2
Jingde Cheng,conf/lmcs/2006,2
Nigel Thomas,conf/pasm/2017,2
Nieves R. Brisaboa,conf/vodca/2004,2
Markus Roggenbach,conf/avocs/2008,2
Jiri Barnat,conf/pdmc/2007,2
Simon Brock,conf/segragra/1995,2
Nigel Thomas,conf/pasm/2014,2
Mark van den Brand,conf/ldta/2001,2
Günter Beham,conf/recsys/2010recsystel,2
Jim Woodcock 0001,conf/sbmf/2003,2
Guo-Qiang Zhang 0001,conf/fics2/2008,2
Jim Woodcock 0001,conf/refine/2006,2
Jim Woodcock 0001,conf/refine/2005,2
Jim Woodcock 0001,conf/refine/2002,2
Martin C. Henson,conf/refine/2005,2
Denis Béchet,conf/termgraph/2007,2
Gul Agha,conf/oopwork/1986,2
Armin Biere,conf/bmc/2006,2
Mark van den Brand,conf/ldta/2002,2
Marta Z. Kwiatkowska,conf/probmiv/1998,2
Didier Galmiche,conf/cade/2000ttlpss,2
Dennis M. Volpano,conf/mfps/1999,2
Timothy Lethbridge,conf/atem/2003,2
Dennis G. Kafura,conf/oopsla/1990ocp,2
Nicole Krämer 0002,conf/nips/2008coa,2
Tomaz Curk,conf/mlsb/2009,2
Mark van den Brand,conf/ldta/2004,2
John Derrick,conf/refine/2007,2
Ian Bayley,conf/bytecode/2005,2
Andrew M. Marshall,journals/corr/abs-1012-4554,2
Giselle Reis,journals/corr/abs-1904-06159,2
Edmund M. Clarke,conf/floc/1999smc,2
Andrew P. Martin,conf/fm/2005wlfm,2
Marco T. Morazán,journals/corr/abs-2207-11600,2
Andrew M. Pitts,conf/hoots/1997,2
Orna Grumberg,conf/concur/2002pdmc,2
Giovanni Di Crescenzo,conf/icalp/2006wcan,2
Giovanni Denaro,conf/tacos/2004,2
Giovanni Denaro,conf/tacos/2003,2
Richard Kennaway,conf/segragra/1995,2
Ville Karavirta,conf/pvw/2008,2
Marco Gribaudo,conf/pasm/2017,2
Andrew D. Gordon 0001,conf/hoots/1997,2
Giuseppe Rosolini,conf/mfps/1997,2
Olivier Chapelle,conf/icml/2010ltr,2
Andrés Moreno,conf/pvw/2006,2
Giuseppe Rosolini,conf/floc/1999rsa,2
Dániel Varró,conf/gtvmt/2004,2
Dániel Varró,conf/gtvmt/2006,2
André Rauber Du Bois,conf/weit/2015,2
Giuseppe Lipari,conf/tacos/2004,2
Marek Zaionc,conf/wcla/2004,2
Joseph A. Goguen,conf/oopwork/1986,2
Rick Statman,conf/mfps/2016,2
Victor L. Selivanov,conf/cca/2008,2
Edgar Jakumeit,journals/corr/abs-1111-4407,2
